english,phonetic,vietnamese
custom,/ˈkʌstəm/,'phong tục'
customs,/ˈkʌstəmz/,'hải quan'
cut,/kʌt/,'cắt'
dad,/dæd/,'bố'
daily,/ˈdeɪli/,'hàng ngày'
damage,/ˈdæmɪdʒ/,'thiệt hại'
damp,/dæmp/,'ẩm ướt'
dance,/dɑːns/,'nhảy múa'
danger,/ˈdeɪndʒər/,'sự nguy hiểm'
dangerous,/ˈdeɪndʒərəs/,'nguy hiểm'
dark,/dɑːk/,'tối'
data,/ˈdeɪtə/,'dữ liệu'
daughter,/ˈdɔːtər/,'con gái'
day,/deɪ/,'ngày'
dead,/ded/,'chết'
deaf,/def/,'điếc'
death,/deθ/,'cái chết'
debate,/dɪˈbeɪt/,'tranh luận'
debt,/det/,'nợ'
decade,/ˈdekeɪd/,'thập kỷ'
december,/dɪˈsembər/,'tháng Mười Hai'
decide,/dɪˈsaɪd/,'quyết định'
decision,/dɪˈsɪʒn/,'quyết định'
declare,/dɪˈkleər/,'tuyên bố'
decorate,/ˈdekəreɪt/,'trang trí'
decoration,/ˌdekəˈreɪʃn/,'sự trang trí'
deep,/diːp/,'sâu'
deeply,/ˈdiːpli/,'sâu sắc'
defend,/dɪˈfend/,'phòng thủ'
defence,/dɪˈfens/,'sự phòng thủ'
define,/dɪˈfaɪn/,'định nghĩa'
definitely,/ˈdefɪnətli/,'chắc chắn'
definition,/ˌdefɪˈnɪʃn/,'định nghĩa'
delay,/dɪˈleɪ/,'trì hoãn'
deliver,/dɪˈlɪvər/,'giao hàng'
dentist,/ˈdentɪst/,'nha sĩ'
deny,/dɪˈnaɪ/,'phủ nhận'
departure,/dɪˈpɑːtʃər/,'sự khởi hành'
depend,/dɪˈpend/,'phụ thuộc'
deposit,/dɪˈpɒzɪt/,'tiền đặt cọc'
depress,/dɪˈpres/,'làm chán nản'
depth,/depθ/,'chiều sâu'
derive,/dɪˈraɪv/,'bắt nguồn từ'
describe,/dɪˈskraɪb/,'miêu tả'
description,/dɪˈskrɪpʃn/,'sự miêu tả'
deserve,/dɪˈzɜːv/,'xứng đáng'
design,/dɪˈzaɪn/,'thiết kế'
desk,/desk/,'bàn làm việc'
desperate,/ˈdespərət/,'tuyệt vọng'
despite,/dɪˈspaɪt/,'mặc dù'
destroy,/dɪˈstrɔɪ/,'phá hủy'
destruction,/dɪˈstrʌkʃn/,'sự phá hủy'
detailed,/ˈdiːteɪld/,'chi tiết'
detect,/dɪˈtekt/,'phát hiện'
detective,/dɪˈtektɪv/,'thám tử'
determined,/dɪˈtɜːmɪnd/,'quyết tâm'
development,/dɪˈveləpmənt/,'sự phát triển'
device,/dɪˈvaɪs/,'thiết bị'
devote,/dɪˈvəʊt/,'cống hiến'
diagram,/ˈdaɪəɡræm/,'biểu đồ'
diamond,/ˈdaɪəmənd/,'kim cương'
diary,/ˈdaɪəri/,'nhật ký'
dictionary,/ˈdɪkʃənəri/,'từ điển'
die,/daɪ/,'chết'
diet,/ˈdaɪət/,'chế độ ăn kiêng'
difference,/ˈdɪfrəns/,'sự khác biệt'
different,/ˈdɪfrənt/,'khác biệt'
difficult,/ˈdɪfɪkəlt/,'khó khăn'
difficulty,/ˈdɪfɪkəlti/,'sự khó khăn'
dig,/dɪɡ/,'đào'
digital,/ˈdɪdʒɪtl/,'kỹ thuật số'
dinner,/ˈdɪnər/,'bữa tối'
dirt,/dɜːt/,'bụi bẩn'
dirty,/ˈdɜːti/,'bẩn'
disabled,/dɪsˈeɪbld/,'khuyết tật'
disadvantage,/ˌdɪsədˈvɑːntɪdʒ/,'bất lợi'
disagree,/ˌdɪsəˈɡriː/,'không đồng ý'
disappear,/ˌdɪsəˈpɪər/,'biến mất'
disappoint,/ˌdɪsəˈpɔɪnt/,'làm thất vọng'
disappointed,/ˌdɪsəˈpɔɪntɪd/,'thất vọng'
disappointment,/ˌdɪsəˈpɔɪntmənt/,'sự thất vọng'
disaster,/dɪˈzɑːstər/,'thảm họa'
disc,/dɪsk/,'đĩa'
discipline,/ˈdɪsəplɪn/,'kỷ luật'
discover,/dɪˈskʌvər/,'khám phá'
discovery,/dɪˈskʌvəri/,'sự khám phá'
discuss,/dɪˈskʌs/,'thảo luận'
discussion,/dɪˈskʌʃn/,'cuộc thảo luận'
disease,/dɪˈziːz/,'bệnh tật'
disgust,/dɪsˈɡʌst/,'làm ghê tởm'
dishonest,/dɪsˈɒnɪst/,'không trung thực'
disk,/dɪsk/,'đĩa'
dislike,/dɪsˈlaɪk/,'không thích'
distance,/ˈdɪstəns/,'khoảng cách'
distinguish,/dɪˈstɪŋɡwɪʃ/,'phân biệt'
distribute,/dɪˈstrɪbjuːt/,'phân phát'
distribution,/ˌdɪstrɪˈbjuːʃn/,'sự phân phối'
disturb,/dɪˈstɜːb/,'làm phiền'
divide,/dɪˈvaɪd/,'chia'
divorce,/dɪˈvɔːs/,'ly hôn'
do,/duː/,'làm'
doctor,/ˈdɒktər/,'bác sĩ'
dog,/dɒɡ/,'con chó'
dollar,/ˈdɒlər/,'đô la'
dominate,/ˈdɒmɪneɪt/,'thống trị'
door,/dɔːr/,'cửa ra vào'
dot,/dɒt/,'dấu chấm'
double,/ˈdʌbl/,'gấp đôi'
doubt,/daʊt/,'nghi ngờ'
down,/daʊn/,'xuống'
downstairs,/ˌdaʊnˈsteəz/,'tầng dưới'
downtown,/ˈdaʊntaʊn/,'trung tâm thành phố'
dozen,/ˈdʌzn/,'một tá'
draft,/drɑːft/,'bản nháp'
drama,/ˈdrɑːmə/,'kịch'
dramatic,/drəˈmætɪk/,'kịch tính'
drawing,/ˈdrɔːɪŋ/,'bản vẽ'
drive,/draɪv/,'lái xe'
driver,/ˈdraɪvər/,'tài xế'
drugstore,/ˈdrʌɡstɔːr/,'hiệu thuốc'
drum,/drʌm/,'cái trống'
drunk,/drʌŋk/,'say rượu'
due,/djuː/,'đến hạn'
during,/ˈdjʊərɪŋ/,'trong suốt'
dust,/dʌst/,'bụi'
dvd,/ˌdiː viː ˈdiː/,'đĩa DVD'
each,/iːtʃ/,'mỗi'
ear,/ɪər/,'tai'
early,/ˈɜːli/,'sớm'
earn,/ɜːn/,'kiếm tiền'
earth,/ɜːθ/,'trái đất'
easily,/ˈiːzəli/,'một cách dễ dàng'
east,/iːst/,'phía đông'
eastern,/ˈiːstən/,'thuộc phía đông'
easy,/ˈiːzi/,'dễ dàng'
eat,/iːt/,'ăn'
economic,/ˌiːkəˈnɒmɪk/,'thuộc kinh tế'
economics,/ˌiːkəˈnɒmɪks/,'kinh tế học'
economy,/ɪˈkɒnəmi/,'nền kinh tế'
editor,/ˈedɪtər/,'biên tập viên'
educate,/ˈedʒukeɪt/,'giáo dục'
education,/ˌedʒuˈkeɪʃn/,'nền giáo dục'
effective,/ɪˈfektɪv/,'hiệu quả'
effort,/ˈefət/,'nỗ lực'
egg,/eɡ/,'trứng'
elbow,/ˈelbəʊ/,'khuỷu tay'
elderly,/ˈeldəli/,'người cao tuổi'
elect,/ɪˈlekt/,'bầu cử'
election,/ɪˈlekʃn/,'cuộc bầu cử'
electric,/ɪˈlektrɪk/,'thuộc về điện'
electrical,/ɪˈlektrɪkl/,'thuộc về điện'
electricity,/ɪˌlekˈtrɪsəti/,'điện'
electronic,/ɪˌlekˈtrɒnɪk/,'điện tử'
elegant,/ˈelɪɡənt/,'thanh lịch'
element,/ˈelɪmənt/,'yếu tố'
elevator,/ˈelɪveɪtər/,'thang máy'
else,/els/,'khác'
elsewhere,/ˌelsˈweər/,'ở nơi khác'
email,/ˈiːmeɪl/,'thư điện tử'
embarrass,/ɪmˈbærəs/,'làm lúng túng'
emerge,/ɪˈmɜːdʒ/,'nổi lên'
emergency,/ɪˈmɜːdʒənsi/,'tình trạng khẩn cấp'
emotion,/ɪˈməʊʃn/,'cảm xúc'
emotional,/ɪˈməʊʃənl/,'đa cảm'
emphasis,/ˈemfəsɪs/,'sự nhấn mạnh'
emphasize,/ˈemfəsaɪz/,'nhấn mạnh'
empire,/ˈempaɪər/,'đế chế'
employer,/ɪmˈplɔɪər/,'người sử dụng lao động'
employment,/ɪmˈplɔɪmənt/,'việc làm'
empty,/ˈempti/,'trống rỗng'
enable,/ɪˈneɪbl/,'cho phép'
encourage,/ɪnˈkʌrɪdʒ/,'khuyến khích'
end,/end/,'kết thúc'
enemy,/ˈenəmi/,'kẻ thù'
energy,/ˈenədʒi/,'năng lượng'
engine,/ˈendʒɪn/,'động cơ'
engineer,/ˌendʒɪˈnɪər/,'kỹ sư'
engineering,/ˌendʒɪˈnɪərɪŋ/,'ngành kỹ thuật'
enhance,/ɪnˈhɑːns/,'nâng cao'
enjoy,/ɪnˈdʒɔɪ/,'thưởng thức'
enough,/ɪˈnʌf/,'đủ'
ensure,/ɪnˈʃʊər/,'đảm bảo'
enter,/ˈentər/,'đi vào'
entertainment,/ˌentəˈteɪnmənt/,'sự giải trí'
enthusiasm,/ɪnˈθjuːziæzəm/,'sự nhiệt tình'
entire,/ɪnˈtaɪər/,'toàn bộ'
entirely,/ɪnˈtaɪəli/,'hoàn toàn'
entitle,/ɪnˈtaɪtl/,'cho quyền'
entrance,/ˈentrəns/,'lối vào'
environment,/ɪnˈvaɪrənmənt/,'môi trường'
environmental,/ɪnˌvaɪrənˈmentl/,'thuộc môi trường'
equal,/ˈiːkwəl/,'bằng nhau'
equally,/ˈiːkwəli/,'một cách công bằng'
equivalent,/ɪˈkwɪvələnt/,'tương đương'
era,/ˈɪərə/,'kỷ nguyên'
error,/ˈerər/,'lỗi'
escape,/ɪˈskeɪp/,'trốn thoát'
especially,/ɪˈspeʃəli/,'đặc biệt là'
essay,/ˈeseɪ/,'bài luận'
essential,/ɪˈsenʃl/,'thiết yếu'
establish,/ɪˈstæblɪʃ/,'thành lập'
etc.,/ɪtˈsetərə/,'vân vân'
ethical,/ˈeθɪkl/,'thuộc đạo đức'
euro,/ˈjʊərəʊ/,'đồng euro'
evening,/ˈiːvnɪŋ/,'buổi tối'
event,/ɪˈvent/,'sự kiện'
eventually,/ɪˈventʃuəli/,'cuối cùng'
every,/ˈevri/,'mỗi'
everybody,/ˈevribɒdi/,'mọi người'
everyone,/ˈevriwʌn/,'mọi người'
everything,/ˈevriθɪŋ/,'mọi thứ'
everywhere,/ˈevriweər/,'mọi nơi'
evidence,/ˈevɪdəns/,'bằng chứng'
exact,/ɪɡˈzækt/,'chính xác'
exactly,/ɪɡˈzæktli/,'chính xác'
exaggerate,/ɪɡˈzædʒəreɪt/,'phóng đại'
exam,/ɪɡˈzæm/,'kỳ thi'
examination,/ɪɡˌzæmɪˈneɪʃn/,'kỳ thi'
examine,/ɪɡˈzæmɪn/,'kiểm tra'
example,/ɪɡˈzɑːmpl/,'ví dụ'
excellent,/ˈeksələnt/,'xuất sắc'
except,/ɪkˈsept/,'ngoại trừ'
exception,/ɪkˈsepʃn/,'ngoại lệ'
exchange,/ɪksˈtʃeɪndʒ/,'trao đổi'
exciting,/ɪkˈsaɪtɪŋ/,'thú vị'
executive,/ɪɡˈzekjətɪv/,'người điều hành'
exercise,/ˈeksəsaɪz/,'bài tập'
exhibit,/ɪɡˈzɪbɪt/,'trưng bày'
exhibition,/ˌeksɪˈbɪʃn/,'triển lãm'
exist,/ɪɡˈzɪst/,'tồn tại'
existence,/ɪɡˈzɪstəns/,'sự tồn tại'
exit,/ˈeɡzɪt/,'lối ra'
expand,/ɪkˈspænd/,'mở rộng'
expect,/ɪkˈspekt/,'mong đợi'
expectation,/ˌekspekˈteɪʃn/,'sự mong đợi'
expensive,/ɪkˈspensɪv/,'đắt tiền'
experienced,/ɪkˈspɪəriənst/,'có kinh nghiệm'
experiment,/ɪkˈsperɪmənt/,'thí nghiệm'
expert,/ˈekspɜːt/,'chuyên gia'
explain,/ɪkˈspleɪn/,'giải thích'
explanation,/ˌekspləˈneɪʃn/,'sự giải thích'
explode,/ɪkˈspləʊd/,'nổ'
explore,/ɪkˈsplɔːr/,'khám phá'
explosion,/ɪkˈspləʊʒn/,'vụ nổ'
export,/ˈekspɔːt/,'xuất khẩu'
external,/ɪkˈstɜːnl/,'bên ngoài'
extra,/ˈekstrə/,'thêm'
extraordinary,/ɪkˈstrɔːdnri/,'phi thường'
extremely,/ɪkˈstriːm.li/,'cực kỳ'
eye,/aɪ/,'mắt'
fact,/fækt/,'sự thật'
factor,/ˈfæktər/,'yếu tố'
factory,/ˈfæktəri/,'nhà máy'
fail,/feɪl/,'thất bại'
failure,/ˈfeɪljər/,'sự thất bại'
faith,/feɪθ/,'niềm tin'
familiar,/fəˈmɪliər/,'quen thuộc'
family,/ˈfæməli/,'gia đình'
famous,/ˈfeɪməs/,'nổi tiếng'
fantastic,/fænˈtæstɪk/,'tuyệt vời'
far,/fɑːr/,'xa'
farm,/fɑːm/,'nông trại'
farmer,/ˈfɑːmər/,'nông dân'
fashion,/ˈfæʃn/,'thời trang'
fast,/fɑːst/,'nhanh'
father,/ˈfɑːðər/,'bố'
fault,/fɔːlt/,'lỗi'
favourite,/ˈfeɪvərɪt/,'yêu thích'
fear,/fɪər/,'sự sợ hãi'
february,/ˈfebruəri/,'tháng Hai'
federal,/ˈfedərəl/,'liên bang'
feed,/fiːd/,'cho ăn'
feel,/fiːl/,'cảm thấy'
feeling,/ˈfiːlɪŋ/,'cảm giác'
female,/ˈfiːmeɪl/,'nữ giới'
fence,/fens/,'hàng rào'
festival,/ˈfestɪvl/,'lễ hội'
fever,/ˈfiːvər/,'cơn sốt'
fight,/faɪt/,'đánh nhau'
fill,/fɪl/,'lấp đầy'
film,/fɪlm/,'phim'
final,/ˈfaɪnl/,'cuối cùng'
finally,/ˈfaɪnəli/,'cuối cùng'
finance,/ˈfaɪnæns/,'tài chính'
find,/faɪnd/,'tìm thấy'
finding,/ˈfaɪndɪŋ/,'sự khám phá'
finger,/ˈfɪŋɡər/,'ngón tay'
finish,/ˈfɪnɪʃ/,'kết thúc'
fish,/fɪʃ/,'cá'
fishing,/ˈfɪʃɪŋ/,'câu cá'
flag,/flæɡ/,'cờ'
flame,/fleɪm/,'ngọn lửa'
flavour,/ˈfleɪvər/,'hương vị'
flight,/flaɪt/,'chuyến bay'
float,/fləʊt/,'nổi'
flood,/flʌd/,'lũ lụt'
flour,/ˈflaʊər/,'bột mì'
flow,/fləʊ/,'dòng chảy'
flower,/ˈflaʊər/,'hoa'
flu,/fluː/,'bệnh cúm'
focus,/ˈfəʊkəs/,'tập trung'
follow,/ˈfɒləʊ/,'theo sau'
following,/ˈfɒləʊɪŋ/,'tiếp theo'
food,/fuːd/,'thức ăn'
foot,/fʊt/,'bàn chân'
football,/ˈfʊtbɔːl/,'bóng đá'
foreign,/ˈfɒrən/,'nước ngoài'
forest,/ˈfɒrɪst/,'rừng'
forever,/fərˈevər/,'mãi mãi'
forget,/fəˈɡet/,'quên'
forgive,/fəˈɡɪv/,'tha thứ'
fork,/fɔːk/,'cái nĩa'
formal,/ˈfɔːml/,'trang trọng'
formula,/ˈfɔːmjələ/,'công thức'
forward,/ˈfɔːwəd/,'về phía trước'
found,/faʊnd/,'thành lập'
frame,/freɪm/,'khung'
freedom,/ˈfriːdəm/,'sự tự do'
freeze,/friːz/,'đóng băng'
frequent,/ˈfriːkwənt/,'thường xuyên'
fresh,/freʃ/,'tươi'
friday,/ˈfraɪdeɪ/,'thứ Sáu'
fridge,/frɪdʒ/,'tủ lạnh'
friend,/frend/,'bạn bè'
friendly,/ˈfrendli/,'thân thiện'
friendship,/ˈfrendʃɪp/,'tình bạn'
frighten,/ˈfraɪtn/,'làm hoảng sợ'
from,/frɒm/,'từ'
front,/frʌnt/,'phía trước'
frozen,/ˈfrəʊzn/,'đông lạnh'
fruit,/fruːt/,'trái cây'
fuel,/ˈfjuːəl/,'nhiên liệu'
full,/fʊl/,'đầy'
fully,/ˈfʊli/,'hoàn toàn'
fun,/fʌn/,'vui vẻ'
function,/ˈfʌŋkʃn/,'chức năng'
fundamental,/ˌfʌndəˈmentl/,'cơ bản'
funeral,/ˈfjuːnərəl/,'đám tang'
funny,/ˈfʌni/,'buồn cười'
fur,/fɜːr/,'lông thú'
furniture,/ˈfɜːnɪtʃər/,'đồ nội thất'
future,/ˈfjuːtʃər/,'tương lai'
gallery,/ˈɡæləri/,'phòng trưng bày'
game,/ɡeɪm/,'trò chơi'
gang,/ɡæŋ/,'băng đảng'
gap,/ɡæp/,'khoảng trống'
garage,/ˈɡærɑːʒ/,'nhà để xe'
garden,/ˈɡɑːdn/,'vườn'
gate,/ɡeɪt/,'cổng'
generally,/ˈdʒenrəli/,'nhìn chung'
generate,/ˈdʒenəreɪt/,'tạo ra'
generation,/ˌdʒenəˈreɪʃn/,'thế hệ'
generous,/ˈdʒenərəs/,'hào phóng'
gentle,/ˈdʒentl/,'nhẹ nhàng'
gentleman,/ˈdʒentlmən/,'quý ông'
geography,/dʒiˈɒɡrəfi/,'địa lý'
ghost,/ɡəʊst/,'ma'
giant,/ˈdʒaɪənt/,'khổng lồ'
gift,/ɡɪft/,'món quà'
girl,/ɡɜːl/,'cô gái'
girlfriend,/ˈɡɜːlfrend/,'bạn gái'
give,/ɡɪv/,'cho'
glad,/ɡlæd/,'vui mừng'
global,/ˈɡləʊbl/,'toàn cầu'
glove,/ɡlʌv/,'găng tay'
go,/ɡəʊ/,'đi'
gold,/ɡəʊld/,'vàng'
golden,/ˈɡəʊldən/,'bằng vàng'
golf,/ɡɒlf/,'môn gôn'
good,/ɡʊd/,'tốt'
goods,/ɡʊdz/,'hàng hóa'
govern,/ˈɡʌvn/,'cai trị'
government,/ˈɡʌvənmənt/,'chính phủ'
governor,/ˈɡʌvənər/,'thống đốc'
grab,/ɡræb/,'tóm lấy'
gradual,/ˈɡrædʒuəl/,'dần dần'
grain,/ɡreɪn/,'hạt'
gram,/ɡræm/,'gram'
grammar,/ˈɡræmər/,'ngữ pháp'
grandfather,/ˈɡrænfɑːðər/,'ông'
grandmother,/ˈɡrænmʌðər/,'bà'
grandparent,/ˈɡrænpeərənt/,'ông bà'
grass,/ɡrɑːs/,'cỏ'
grateful,/ˈɡreɪtfl/,'biết ơn'
gray,/ɡreɪ/,'màu xám'
green,/ɡriːn/,'màu xanh lá'
greet,/ɡriːt/,'chào hỏi'
grey,/ɡreɪ/,'màu xám'
grocery,/ˈɡrəʊsəri/,'cửa hàng tạp hóa'
ground,/ɡraʊnd/,'mặt đất'
group,/ɡruːp/,'nhóm'
growth,/ɡrəʊθ/,'sự phát triển'
guard,/ɡɑːd/,'bảo vệ'
guess,/ɡes/,'đoán'
guest,/ɡest/,'khách'
guide,/ɡaɪd/,'hướng dẫn'
guilty,/ˈɡɪlti/,'có tội'
guitar,/ɡɪˈtɑːr/,'đàn ghi ta'
gun,/ɡʌn/,'súng'
guy,/ɡaɪ/,'chàng trai'
gym,/dʒɪm/,'phòng tập thể dục'
habit,/ˈhæbɪt/,'thói quen'
hair,/heər/,'tóc'
half,/hɑːf/,'một nửa'
hall,/hɔːl/,'hội trường'
ham,/hæm/,'thịt nguội'
hammer,/ˈhæmər/,'cái búa'
hand,/hænd/,'bàn tay'
hang,/hæŋ/,'treo'
happen,/ˈhæpən/,'xảy ra'
happiness,/ˈhæpinəs/,'hạnh phúc'
happy,/ˈhæpi/,'hạnh phúc'
hardly,/ˈhɑːdli/,'hầu như không'
harm,/hɑːm/,'tổn hại'
harmful,/ˈhɑːmfl/,'có hại'
hat,/hæt/,'mũ'
hate,/heɪt/,'ghét'
have,/hæv/,'có'
he,/hiː/,'anh ấy'
headache,/ˈhedeɪk/,'đau đầu'
headline,/ˈhedlaɪn/,'tiêu đề'
health,/helθ/,'sức khỏe'
healthy,/ˈhelθi/,'khỏe mạnh'
hear,/hɪər/,'nghe'
heart,/hɑːt/,'trái tim'
heating,/ˈhiːtɪŋ/,'hệ thống sưởi'
heaven,/ˈhevn/,'thiên đường'
heavily,/ˈhevɪli/,'nặng nề'
heavy,/ˈhevi/,'nặng'
heel,/hiːl/,'gót chân'
height,/haɪt/,'chiều cao'
helicopter,/ˈhelɪkɒptər/,'máy bay trực thăng'
hell,/hel/,'địa ngục'
help,/help/,'giúp đỡ'
helpful,/ˈhelpfl/,'hữu ích'
here,/hɪər/,'ở đây'
hero,/ˈhɪərəʊ/,'anh hùng'
hers,/hɜːz/,'của cô ấy'
herself,/hɜːˈself/,'chính cô ấy'
hesitate,/ˈhezɪteɪt/,'do dự'
hi,/haɪ/,'chào'
high,/haɪ/,'cao'
highlight,/ˈhaɪlaɪt/,'làm nổi bật'
highway,/ˈhaɪweɪ/,'xa lộ'
hill,/hɪl/,'đồi'
him,/hɪm/,'anh ấy'
himself,/hɪmˈself/,'chính anh ấy'
hip,/hɪp/,'hông'
his,/hɪz/,'của anh ấy'
historic,/hɪˈstɒrɪk/,'mang tính lịch sử'
historical,/hɪˈstɒrɪkl/,'thuộc lịch sử'
history,/ˈhɪstri/,'lịch sử'
hit,/hɪt/,'đánh'
hobby,/ˈhɒbi/,'sở thích'
hockey,/ˈhɒki/,'khúc côn cầu'
holiday,/ˈhɒlədeɪ/,'kỳ nghỉ'
hollow,/ˈhɒləʊ/,'rỗng'
home,/həʊm/,'nhà'
homework,/ˈhəʊmwɜːk/,'bài tập về nhà'
honest,/ˈɒnɪst/,'trung thực'
honour,/ˈɒnər/,'danh dự'
hook,/hʊk/,'cái móc'
hope,/həʊp/,'hy vọng'
horizontal,/ˌhɒrɪˈzɒntl/,'ngang'
horror,/ˈhɒrər/,'kinh dị'
horse,/hɔːs/,'ngựa'
hospital,/ˈhɒspɪtl/,'bệnh viện'
hot,/hɒt/,'nóng'
hotel,/həʊˈtel/,'khách sạn'
hour,/ˈaʊər/,'giờ'
house,/haʊs/,'nhà'
household,/ˈhaʊshəʊld/,'hộ gia đình'
housing,/ˈhaʊzɪŋ/,'nhà ở'
how,/haʊ/,'như thế nào'
however,/haʊˈevər/,'tuy nhiên'
huge,/hjuːdʒ/,'khổng lồ'
human,/ˈhjuːmən/,'con người'
humorous,/ˈhjuːmərəs/,'hài hước'
humour,/ˈhjuːmər/,'sự hài hước'
hundred,/ˈhʌndrəd/,'một trăm'
hungry,/ˈhʌŋɡri/,'đói'
hunt,/hʌnt/,'săn bắn'
hurry,/ˈhʌri/,'vội vàng'
husband,/ˈhʌzbənd/,'chồng'
i,/aɪ/,'tôi'
ice,/aɪs/,'băng'
ice cream,/ˌaɪs ˈkriːm/,'kem'
idea,/aɪˈdɪə/,'ý tưởng'
ideal,/aɪˈdɪəl/,'lý tưởng'
identify,/aɪˈdentɪfaɪ/,'nhận dạng'
identity,/aɪˈdentəti/,'danh tính'
if,/ɪf/,'nếu'
ignore,/ɪɡˈnɔːr/,'lờ đi'
ill,/ɪl/,'ốm'
illegal,/ɪˈliːɡl/,'bất hợp pháp'
illness,/ˈɪlnəs/,'bệnh tật'
image,/ˈɪmɪdʒ/,'hình ảnh'
imaginary,/ɪˈmædʒɪnəri/,'tưởng tượng'
imagination,/ɪˌmædʒɪˈneɪʃn/,'sự tưởng tượng'
imagine,/ɪˈmædʒɪn/,'tưởng tượng'
immediate,/ɪˈmiːdiət/,'ngay lập tức'
immigrant,/ˈɪmɪɡrənt/,'người nhập cư'
impact,/ˈɪmpækt/,'tác động'
impatient,/ɪmˈpeɪʃnt/,'thiếu kiên nhẫn'
imply,/ɪmˈplaɪ/,'ngụ ý'
import,/ˈɪmpɔːt/,'nhập khẩu'
importance,/ɪmˈpɔːtns/,'tầm quan trọng'
important,/ɪmˈpɔːtnt/,'quan trọng'
impose,/ɪmˈpəʊz/,'áp đặt'
impossible,/ɪmˈpɒsəbl/,'không thể'
impress,/ɪmˈpres/,'gây ấn tượng'
impression,/ɪmˈpreʃn/,'ấn tượng'
impressive,/ɪmˈpresɪv/,'ấn tượng'
improve,/ɪmˈpruːv/,'cải thiện'
improvement,/ɪmˈpruːvmənt/,'sự cải thiện'
in,/ɪn/,'trong'
inch,/ɪntʃ/,'inch (đơn vị đo)'
incident,/ˈɪnsɪdənt/,'sự cố'
include,/ɪnˈkluːd/,'bao gồm'
including,/ɪnˈkluːdɪŋ/,'bao gồm'
income,/ˈɪnkʌm/,'thu nhập'
increasingly,/ɪnˈkriːsɪŋli/,'ngày càng'
indeed,/ɪnˈdiːd/,'thực vậy'
independent,/ˌɪndɪˈpendənt/,'độc lập'
indicate,/ˈɪndɪkeɪt/,'chỉ ra'
indirect,/ˌɪndɪˈrekt/,'gián tiếp'
individual,/ˌɪndɪˈvɪdʒuəl/,'cá nhân'
indoor,/ˈɪndɔːr/,'trong nhà'
indoors,/ˌɪnˈdɔːz/,'ở trong nhà'
industrial,/ɪnˈdʌstriəl/,'thuộc công nghiệp'
industry,/ˈɪndəstri/,'công nghiệp'
inevitable,/ɪnˈevɪtəbl/,'không thể tránh khỏi'
infect,/ɪnˈfekt/,'lây nhiễm'
infection,/ɪnˈfekʃn/,'sự lây nhiễm'
influence,/ˈɪnfluəns/,'ảnh hưởng'
inform,/ɪnˈfɔːm/,'thông báo'
informal,/ɪnˈfɔːml/,'không trang trọng'
ingredient,/ɪnˈɡriːdiənt/,'thành phần'
initial,/ɪˈnɪʃl/,'ban đầu'
initially,/ɪˈnɪʃəli/,'ban đầu'
initiative,/ɪˈnɪʃətɪv/,'sáng kiến'
injure,/ˈɪndʒər/,'làm bị thương'
injury,/ˈɪndʒəri/,'vết thương'
ink,/ɪŋk/,'mực'
inner,/ˈɪnər/,'bên trong'
innocent,/ˈɪnəsnt/,'vô tội'
insect,/ˈɪnsekt/,'côn trùng'
insert,/ɪnˈsɜːt/,'chèn vào'
inside,/ɪnˈsaɪd/,'bên trong'
insist,/ɪnˈsɪst/,'khăng khăng'
instead,/ɪnˈsted/,'thay vì'
institution,/ˌɪnstɪˈtjuːʃn/,'tổ chức'
instruction,/ɪnˈstrʌkʃn/,'sự hướng dẫn'
instructor,/ɪnˈstrʌktər/,'người hướng dẫn'
insult,/ɪnˈsʌlt/,'lăng mạ'
intelligence,/ɪnˈtelɪdʒəns/,'trí thông minh'
intelligent,/ɪnˈtelɪdʒənt/,'thông minh'
intend,/ɪnˈtend/,'có ý định'
intended,/ɪnˈtendɪd/,'dự định'
intention,/ɪnˈtenʃn/,'ý định'
interested,/ˈɪntrəstɪd/,'quan tâm'
interesting,/ˈɪntrəstɪŋ/,'thú vị'
international,/ˌɪntəˈnæʃnəl/,'quốc tế'
internet,/ˈɪntənet/,'internet'
interpret,/ɪnˈtɜːprɪt/,'diễn giải'
interrupt,/ˌɪntəˈrʌpt/,'làm gián đoạn'
interval,/ˈɪntəvl/,'khoảng thời gian'
into,/ˈɪntuː/,'vào trong'
introduce,/ˌɪntrəˈdjuːs/,'giới thiệu'
introduction,/ˌɪntrəˈdʌkʃn/,'sự giới thiệu'
invent,/ɪnˈvent/,'phát minh'
invention,/ɪnˈvenʃn/,'sự phát minh'
invest,/ɪnˈvest/,'đầu tư'
investigate,/ɪnˈvestɪɡeɪt/,'điều tra'
investigation,/ɪnˌvestɪˈɡeɪʃn/,'cuộc điều tra'
investment,/ɪnˈvestmənt/,'sự đầu tư'
invitation,/ˌɪnvɪˈteɪʃn/,'lời mời'
invite,/ɪnˈvaɪt/,'mời'
involve,/ɪnˈvɒlv/,'liên quan'
involved,/ɪnˈvɒlvd/,'có liên quan'
involvement,/ɪnˈvɒlvmənt/,'sự tham gia'
island,/ˈaɪlənd/,'hòn đảo'
it,/ɪt/,'nó'
its,/ɪts/,'của nó'
itself,/ɪtˈself/,'chính nó'
jacket,/ˈdʒækɪt/,'áo khoác'
january,/ˈdʒænjuəri/,'tháng Một'
jealous,/ˈdʒeləs/,'ghen tị'
jeans,/dʒiːnz/,'quần jean'
jet,/dʒet/,'máy bay phản lực'
jewellery,/ˈdʒuːəlri/,'trang sức'
